timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,contracts_per_layer,option_multiplier,drift_distance,drift_count,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost
2025-03-31T17:50:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5561.02,5555.0,1.0,Opened the primary butterfly corridor layer.,PRIMARY,5545.0,5555.0,5565.0,10.0,7.0,2.256,2.2,0.056,0.056,1.0,100.0,,,,,,,
2025-03-31T18:00:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,5566.62,5560.0,2.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5550.0,5560.0,5570.0,10.0,7.0,2.256,2.2,0.056,0.056,1.0,100.0,,,,,,,
2025-03-31T18:05:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5582.75,5555.0,,Corridor drift started.,,,,,,,,,,,,,27.75,,,,,,
2025-03-31T18:30:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,5593.76,5565.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,28.76,6.0,,,,,
2025-03-31T18:35:00+00:00,SPX,ABORTED,REBUILD,5596.19,5555.0,1.0,Regime turned TREND_UP.,PRIMARY,5545.0,5555.0,5565.0,10.0,7.0,2.256,2.2,,0.056,1.0,100.0,,,0.0,0.0,-2.256,-2.2,0.056
2025-03-31T18:35:00+00:00,SPX,ABORTED,REBUILD,5596.19,5560.0,2.0,Regime turned TREND_UP.,SUPPLEMENTAL,5550.0,5560.0,5570.0,10.0,7.0,2.256,2.2,,0.056,1.0,100.0,,,0.0,0.0,-2.256,-2.2,0.056
2025-04-01T19:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5614.64,5610.0,3.0,Opened the primary butterfly corridor layer.,PRIMARY,5600.0,5610.0,5620.0,10.0,7.0,2.256,2.2,0.056,0.056,1.0,100.0,,,,,,,
2025-04-01T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,5618.42,5610.0,3.0,Session window closed.,PRIMARY,5600.0,5610.0,5620.0,10.0,7.0,2.256,2.2,,0.056,1.0,100.0,,,2.8858,2.9418,0.6298,0.7418,0.056
2025-04-02T13:55:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5611.07,5605.0,4.0,Opened the primary butterfly corridor layer.,PRIMARY,5595.0,5605.0,5615.0,10.0,7.0,2.256,2.2,0.056,0.056,1.0,100.0,,,,,,,
2025-04-02T14:00:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5625.8,5605.0,,Corridor drift started.,,,,,,,,,,,,,20.8,,,,,,
2025-04-02T14:05:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5611.97,5605.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,
2025-04-02T14:15:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5623.31,5605.0,,Corridor drift started.,,,,,,,,,,,,,18.31,,,,,,
2025-04-02T14:40:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,5629.5,5610.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,19.5,6.0,,,,,
2025-04-02T14:45:00+00:00,SPX,REBUILT,REBUILD,5634.28,5605.0,4.0,Removed prior layers for rebuild.,PRIMARY,5595.0,5605.0,5615.0,10.0,7.0,2.256,2.2,,0.056,1.0,100.0,,,0.0,0.0,-2.256,-2.2,0.056
2025-04-02T14:45:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,5634.28,5610.0,5.0,Established a fresh primary butterfly corridor layer.,PRIMARY,5600.0,5610.0,5620.0,10.0,7.0,2.256,2.2,0.056,0.056,1.0,100.0,,,,,,,
2025-04-02T14:50:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5634.56,5610.0,,Corridor drift started.,,,,,,,,,,,,,24.56,,,,,,
2025-04-02T15:10:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5633.26,5620.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,
2025-04-02T15:15:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5639.65,5620.0,,Corridor drift started.,,,,,,,,,,,,,19.65,,,,,,
2025-04-02T15:30:00+00:00,SPX,ABORTED,DRIFTING,5658.5,5610.0,5.0,Regime turned TREND_UP.,PRIMARY,5600.0,5610.0,5620.0,10.0,7.0,2.256,2.2,,0.056,1.0,100.0,,,0.0,0.0,-2.256,-2.2,0.056
2025-04-02T18:40:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5654.92,5660.0,6.0,Opened the primary butterfly corridor layer.,PRIMARY,5650.0,5660.0,5670.0,10.0,7.0,2.256,2.2,0.056,0.056,1.0,100.0,,,,,,,
