timestamp,symbol,week_key,action,state,price,center_price,layer_id,detail,kind,body_strike,lower_strike,upper_strike,width,dte,entry_cost,entry_debit,entry_friction_cost,gross_deployment,adjustments_this_week,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost
2025-04-01T17:30:00+00:00,SPX,2025-03-31,DEPLOY_INITIAL,ACTIVE,5613.21,0.0,1,Opened an initial weekly butterfly layer.,INITIAL,-50.0,-125.0,25.0,75.0,12.0,16.556,16.5,0.056,16.556,,,,,,
2025-04-01T17:30:00+00:00,SPX,2025-03-31,DEPLOY_INITIAL,ACTIVE,5613.21,0.0,2,Opened an initial weekly butterfly layer.,INITIAL,0.0,-75.0,75.0,75.0,12.0,16.556,16.5,0.056,16.556,,,,,,
2025-04-01T17:30:00+00:00,SPX,2025-03-31,DEPLOY_INITIAL,ACTIVE,5613.21,0.0,3,Opened an initial weekly butterfly layer.,INITIAL,50.0,-25.0,125.0,75.0,12.0,16.556,16.5,0.056,16.556,,,,,,
2025-04-01T18:00:00+00:00,SPX,2025-03-31,ADD_ADJUSTMENT,ADJUSTED,5599.72,0.0,4,Added one supplemental weekly butterfly after price moved outside tolerance.,ADJUSTMENT,5600.0,5525.0,5675.0,75.0,12.0,16.556,16.5,0.056,16.556,1.0,,,,,
2025-04-01T20:00:00+00:00,SPX,2025-03-31,ABORT,ABORTED,5632.92,0.0,1,Aborted on trend-dominant week.,INITIAL,-50.0,-125.0,25.0,75.0,,,,,,,0.0,0.0,-16.556,-16.5,0.056
2025-04-01T20:00:00+00:00,SPX,2025-03-31,ABORT,ABORTED,5632.92,0.0,2,Aborted on trend-dominant week.,INITIAL,0.0,-75.0,75.0,75.0,,,,,,,0.0,0.0,-16.556,-16.5,0.056
2025-04-01T20:00:00+00:00,SPX,2025-03-31,ABORT,ABORTED,5632.92,0.0,3,Aborted on trend-dominant week.,INITIAL,50.0,-25.0,125.0,75.0,,,,,,,0.0,0.0,-16.556,-16.5,0.056
2025-04-01T20:00:00+00:00,SPX,2025-03-31,ABORT,ABORTED,5632.92,0.0,4,Aborted on trend-dominant week.,ADJUSTMENT,5600.0,5525.0,5675.0,75.0,,,,,,,23.8354,23.8914,7.2794,7.3914,0.056
2025-04-29T18:30:00+00:00,SPX,2025-04-28,DEPLOY_INITIAL,ACTIVE,5565.95,0.0,5,Opened an initial weekly butterfly layer.,INITIAL,-50.0,-125.0,25.0,75.0,12.0,16.556,16.5,0.056,16.556,,,,,,
2025-04-29T18:30:00+00:00,SPX,2025-04-28,DEPLOY_INITIAL,ACTIVE,5565.95,0.0,6,Opened an initial weekly butterfly layer.,INITIAL,0.0,-75.0,75.0,75.0,12.0,16.556,16.5,0.056,16.556,,,,,,
2025-04-29T18:30:00+00:00,SPX,2025-04-28,DEPLOY_INITIAL,ACTIVE,5565.95,0.0,7,Opened an initial weekly butterfly layer.,INITIAL,50.0,-25.0,125.0,75.0,12.0,16.556,16.5,0.056,16.556,,,,,,
2025-04-29T19:00:00+00:00,SPX,2025-04-28,ABORT,ABORTED,5561.66,0.0,5,Aborted on trend-dominant week.,INITIAL,-50.0,-125.0,25.0,75.0,,,,,,,0.0,0.0,-16.556,-16.5,0.056
2025-04-29T19:00:00+00:00,SPX,2025-04-28,ABORT,ABORTED,5561.66,0.0,6,Aborted on trend-dominant week.,INITIAL,0.0,-75.0,75.0,75.0,,,,,,,0.0,0.0,-16.556,-16.5,0.056
2025-04-29T19:00:00+00:00,SPX,2025-04-28,ABORT,ABORTED,5561.66,0.0,7,Aborted on trend-dominant week.,INITIAL,50.0,-25.0,125.0,75.0,,,,,,,0.0,0.0,-16.556,-16.5,0.056
2025-05-06T14:00:00+00:00,SPX,2025-05-05,DEPLOY_INITIAL,ACTIVE,5597.52,0.0,8,Opened an initial weekly butterfly layer.,INITIAL,-50.0,-125.0,25.0,75.0,12.0,16.556,16.5,0.056,16.556,,,,,,
2025-05-06T14:00:00+00:00,SPX,2025-05-05,DEPLOY_INITIAL,ACTIVE,5597.52,0.0,9,Opened an initial weekly butterfly layer.,INITIAL,0.0,-75.0,75.0,75.0,12.0,16.556,16.5,0.056,16.556,,,,,,
2025-05-06T14:00:00+00:00,SPX,2025-05-05,DEPLOY_INITIAL,ACTIVE,5597.52,0.0,10,Opened an initial weekly butterfly layer.,INITIAL,50.0,-25.0,125.0,75.0,12.0,16.556,16.5,0.056,16.556,,,,,,
2025-05-06T14:30:00+00:00,SPX,2025-05-05,ADD_ADJUSTMENT,ADJUSTED,5627.34,0.0,11,Added one supplemental weekly butterfly after price moved outside tolerance.,ADJUSTMENT,5625.0,5550.0,5700.0,75.0,12.0,16.556,16.5,0.056,16.556,1.0,,,,,
2025-05-06T17:30:00+00:00,SPX,2025-05-05,ABORT,ABORTED,5616.77,0.0,8,Aborted on trend-dominant week.,INITIAL,-50.0,-125.0,25.0,75.0,,,,,,,0.0,0.0,-16.556,-16.5,0.056
