timestamp,symbol,from_state,to_state,reason,regime,price,center_price,drift_count,layer_count
2026-03-31T13:30:00+00:00,SPX,IDLE,ABORT,Regime turned TREND_UP.,TREND_UP,6414.43,,0,0
2026-03-31T14:05:00+00:00,SPX,IDLE,ABORT,Regime turned TREND_UP.,TREND_UP,6446.34,,0,0
2026-03-31T15:10:00+00:00,SPX,IDLE,ABORT,Regime turned TREND_UP.,TREND_UP,6429.42,,0,0
2026-04-06T14:40:00+00:00,SPX,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,6602.89,6580.0,0,1
2026-04-06T14:45:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,6597.24,6580.0,1,1
2026-04-06T14:50:00+00:00,SPX,DRIFTING,ACTIVE_CENTERED,Price returned to the center band.,RANGE,6592.59,6585.0,0,1
2026-04-06T15:00:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,6599.65,6585.0,1,2
2026-04-06T15:10:00+00:00,SPX,DRIFTING,ACTIVE_CENTERED,Price returned to the center band.,RANGE,6596.86,6585.0,0,2
2026-04-06T15:50:00+00:00,SPX,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,6597.83,6595.0,0,1
2026-04-06T16:05:00+00:00,SPX,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,6598.96,6595.0,0,1
