timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,lower_width,upper_width,wing_mode,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,modeled_max_loss,contracts_per_layer,option_multiplier,drift_distance,drift_count,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,stress_profile,primary_return_pct
2025-04-02T14:05:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5611.97,5605.0,1.0,Opened the primary butterfly corridor layer.,PRIMARY,5525.0,5605.0,5705.0,80.0,80.0,100.0,broken_upper,7.0,19.286,19.2,0.086,0.086,39.286,1.0,100.0,,,,,,,,,
2025-04-02T14:10:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,5613.23,5610.0,2.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5530.0,5610.0,5710.0,80.0,80.0,100.0,broken_upper,7.0,19.286,19.2,0.086,0.086,39.286,1.0,100.0,,,,,,,,,
2025-04-02T14:15:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5623.31,5605.0,,Corridor drift started.,,,,,,,,,,,,,,,,,18.31,,,,,,,,
2025-04-02T15:00:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,5641.01,5615.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,,,,,26.01,10.0,,,,,,,
2025-04-02T15:05:00+00:00,SPX,REBUILT,REBUILD,5642.41,5605.0,1.0,Removed prior layers for rebuild.,PRIMARY,5525.0,5605.0,5705.0,80.0,80.0,100.0,broken_upper,7.0,19.286,19.2,,0.086,,1.0,100.0,,,20.9168,24.694,1.6308,5.494,0.086,conservative,
2025-04-02T15:05:00+00:00,SPX,REBUILT,REBUILD,5642.41,5610.0,2.0,Removed prior layers for rebuild.,SUPPLEMENTAL,5530.0,5610.0,5710.0,80.0,80.0,100.0,broken_upper,7.0,19.286,19.2,,0.086,,1.0,100.0,,,21.1139,24.9259,1.8279,5.7259,0.086,conservative,
2025-04-02T15:05:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,5642.41,5615.0,3.0,Established a fresh primary butterfly corridor layer.,PRIMARY,5535.0,5615.0,5715.0,80.0,80.0,100.0,broken_upper,7.0,19.286,19.2,0.086,0.086,39.286,1.0,100.0,,,,,,,,,
2025-04-02T15:10:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5633.26,5620.0,,Corridor drift started.,,,,,,,,,,,,,,,,,13.26,,,,,,,,
2025-04-02T15:30:00+00:00,SPX,ABORTED,DRIFTING,5658.5,5615.0,3.0,Regime turned TREND_UP.,PRIMARY,5535.0,5615.0,5715.0,80.0,80.0,100.0,broken_upper,7.0,19.286,19.2,,0.086,,1.0,100.0,,,20.6237,24.3491,1.3377,5.1491,0.086,conservative,
2025-04-15T15:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5424.04,5430.0,4.0,Opened the primary butterfly corridor layer.,PRIMARY,5350.0,5430.0,5530.0,80.0,80.0,100.0,broken_upper,7.0,19.286,19.2,0.086,0.086,39.286,1.0,100.0,,,,,,,,,
2025-04-15T15:35:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,5421.24,5425.0,5.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5345.0,5425.0,5525.0,80.0,80.0,100.0,broken_upper,7.0,19.286,19.2,0.086,0.086,39.286,1.0,100.0,,,,,,,,,
2025-04-15T16:50:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5412.98,5425.0,,Corridor drift started.,,,,,,,,,,,,,,,,,12.02,,,,,,,,
2025-04-15T17:35:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,5404.57,5420.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,,,,,15.43,10.0,,,,,,,
2025-04-15T17:40:00+00:00,SPX,REBUILT,REBUILD,5406.77,5430.0,4.0,Removed prior layers for rebuild.,PRIMARY,5350.0,5430.0,5530.0,80.0,80.0,100.0,broken_upper,7.0,19.286,19.2,,0.086,,1.0,100.0,,,21.3597,25.2151,2.0737,6.0151,0.086,conservative,
2025-04-15T17:40:00+00:00,SPX,REBUILT,REBUILD,5406.77,5425.0,5.0,Removed prior layers for rebuild.,SUPPLEMENTAL,5345.0,5425.0,5525.0,80.0,80.0,100.0,broken_upper,7.0,19.286,19.2,,0.086,,1.0,100.0,,,21.6125,25.5125,2.3265,6.3125,0.086,conservative,
2025-04-15T17:40:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,5406.77,5420.0,6.0,Established a fresh primary butterfly corridor layer.,PRIMARY,5340.0,5420.0,5520.0,80.0,80.0,100.0,broken_upper,7.0,19.286,19.2,0.086,0.086,39.286,1.0,100.0,,,,,,,,,
2025-04-15T17:45:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5407.34,5420.0,,Corridor drift started.,,,,,,,,,,,,,,,,,12.66,,,,,,,,
2025-04-15T18:40:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5404.27,5410.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-15T18:45:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,5402.03,5405.0,7.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5325.0,5405.0,5505.0,80.0,80.0,100.0,broken_upper,7.0,19.286,19.2,0.086,0.086,39.286,1.0,100.0,,,,,,,,,
2025-04-15T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,5398.18,5420.0,6.0,Session window closed.,PRIMARY,5340.0,5420.0,5520.0,80.0,80.0,100.0,broken_upper,7.0,19.286,19.2,,0.086,,1.0,100.0,,,21.4112,25.2756,2.1252,6.0756,0.086,conservative,
2025-04-15T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,5398.18,5405.0,7.0,Session window closed.,SUPPLEMENTAL,5325.0,5405.0,5505.0,80.0,80.0,100.0,broken_upper,7.0,19.286,19.2,,0.086,,1.0,100.0,,,22.0792,26.0616,2.7932,6.8616,0.086,conservative,
2025-04-25T14:20:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5471.12,5475.0,8.0,Opened the primary butterfly corridor layer.,PRIMARY,5395.0,5475.0,5575.0,80.0,80.0,100.0,broken_upper,7.0,19.286,19.2,0.086,0.086,39.286,1.0,100.0,,,,,,,,,
2025-04-25T14:25:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5463.9,5475.0,,Corridor drift started.,,,,,,,,,,,,,,,,,11.1,,,,,,,,
2025-04-25T14:30:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5468.91,5475.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-25T14:40:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,5484.95,5480.0,9.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5400.0,5480.0,5580.0,80.0,80.0,100.0,broken_upper,7.0,19.286,19.2,0.086,0.086,39.286,1.0,100.0,,,,,,,,,
2025-04-25T15:10:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5490.03,5480.0,,Corridor drift started.,,,,,,,,,,,,,,,,,10.03,,,,,,,,
2025-04-25T15:15:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5486.41,5480.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-25T15:20:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5491.32,5480.0,,Corridor drift started.,,,,,,,,,,,,,,,,,11.32,,,,,,,,
2025-04-25T15:25:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5482.45,5480.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-25T16:00:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5490.05,5480.0,,Corridor drift started.,,,,,,,,,,,,,,,,,10.05,,,,,,,,
