timestamp,symbol,week_key,from_state,to_state,reason,regime,price,center_price,active_butterflies,adjustments_this_week
2025-04-01T16:30:00+00:00,SPX,2025-03-31,IDLE,ACTIVE,Deployed the initial 3-butterfly weekly corridor.,RANGE,5625.26,0.0,3,0
2025-04-01T17:00:00+00:00,SPX,2025-03-31,ACTIVE,ADJUSTED,Added a single weekly adjustment butterfly after sustained drift.,RANGE,5629.95,0.0,4,1
2025-04-02T15:30:00+00:00,SPX,2025-03-31,ADJUSTED,ABORTED,Trend or breakout expansion invalidated the weekly corridor.,TREND_UP,5658.5,0.0,4,1
2025-04-22T16:30:00+00:00,SPX,2025-04-21,IDLE,ACTIVE,Deployed the initial 3-butterfly weekly corridor.,RANGE,5301.84,0.0,3,0
2025-04-22T17:00:00+00:00,SPX,2025-04-21,ACTIVE,ADJUSTED,Added a single weekly adjustment butterfly after sustained drift.,RANGE,5294.56,0.0,4,1
2025-04-22T17:30:00+00:00,SPX,2025-04-21,ADJUSTED,ABORTED,Trend or breakout expansion invalidated the weekly corridor.,TREND_DOWN,5245.04,0.0,4,1
2025-04-29T17:30:00+00:00,SPX,2025-04-28,IDLE,ACTIVE,Deployed the initial 3-butterfly weekly corridor.,RANGE,5545.31,0.0,3,0
2025-04-29T18:00:00+00:00,SPX,2025-04-28,ACTIVE,ADJUSTED,Added a single weekly adjustment butterfly after sustained drift.,RANGE,5570.22,0.0,4,1
2025-04-29T19:30:00+00:00,SPX,2025-04-28,ADJUSTED,ABORTED,Trend or breakout expansion invalidated the weekly corridor.,TREND_UP,5564.25,0.0,4,1
2025-05-05T19:00:00+00:00,SPX,2025-05-05,IDLE,ACTIVE,Deployed the initial 3-butterfly weekly corridor.,RANGE,5672.87,0.0,3,0
2025-05-05T19:30:00+00:00,SPX,2025-05-05,ACTIVE,ADJUSTED,Added a single weekly adjustment butterfly after sustained drift.,RANGE,5665.85,0.0,4,1
2025-05-06T18:00:00+00:00,SPX,2025-05-05,ADJUSTED,ABORTED,Trend or breakout expansion invalidated the weekly corridor.,TREND_UP,5609.97,0.0,4,1
2025-05-12T14:00:00+00:00,SPX,2025-05-12,IDLE,ACTIVE,Deployed the initial 3-butterfly weekly corridor.,RANGE,5808.84,0.0,3,0
2025-05-12T14:30:00+00:00,SPX,2025-05-12,ACTIVE,ADJUSTED,Added a single weekly adjustment butterfly after sustained drift.,RANGE,5793.41,0.0,4,1
2025-05-12T16:30:00+00:00,SPX,2025-05-12,ADJUSTED,ABORTED,Trend or breakout expansion invalidated the weekly corridor.,TREND_UP,5812.88,0.0,4,1
2025-05-19T14:00:00+00:00,SPX,2025-05-19,IDLE,ACTIVE,Deployed the initial 3-butterfly weekly corridor.,RANGE,5933.52,0.0,3,0
2025-05-19T14:30:00+00:00,SPX,2025-05-19,ACTIVE,ADJUSTED,Added a single weekly adjustment butterfly after sustained drift.,RANGE,5938.06,0.0,4,1
2025-05-23T13:30:00+00:00,SPX,2025-05-19,ADJUSTED,ABORTED,Trend or breakout expansion invalidated the weekly corridor.,TREND_DOWN,5784.71,0.0,4,1
2025-05-27T14:00:00+00:00,SPX,2025-05-26,IDLE,ACTIVE,Deployed the initial 3-butterfly weekly corridor.,RANGE,5880.41,0.0,3,0
2025-05-27T14:30:00+00:00,SPX,2025-05-26,ACTIVE,ADJUSTED,Added a single weekly adjustment butterfly after sustained drift.,RANGE,5892.82,0.0,4,1
2025-05-30T19:00:00+00:00,SPX,2025-05-26,ADJUSTED,EXITED,Forced weekly exit window reached.,RANGE,5905.22,0.0,4,1
2025-06-02T14:00:00+00:00,SPX,2025-06-02,IDLE,ACTIVE,Deployed the initial 3-butterfly weekly corridor.,RANGE,5869.3,0.0,3,0
2025-06-02T14:30:00+00:00,SPX,2025-06-02,ACTIVE,ADJUSTED,Added a single weekly adjustment butterfly after sustained drift.,RANGE,5903.14,0.0,4,1
