timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,lower_width,upper_width,wing_mode,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,modeled_max_loss,contracts_per_layer,option_multiplier,drift_distance,drift_count,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,stress_profile,primary_return_pct
2025-04-02T14:05:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5611.97,5605.0,1.0,Opened the primary butterfly corridor layer.,PRIMARY,5525.0,5605.0,5725.0,80.0,80.0,120.0,broken_upper,7.0,17.366,17.28,0.086,0.086,57.366,1.0,100.0,,,,,,,,,
2025-04-02T14:15:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5623.31,5605.0,,Corridor drift started.,,,,,,,,,,,,,,,,,18.31,,,,,,,,
2025-04-02T15:00:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,5641.01,5615.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,,,,,26.01,10.0,,,,,,,
2025-04-02T15:05:00+00:00,SPX,REBUILT,REBUILD,5642.41,5605.0,1.0,Removed prior layers for rebuild.,PRIMARY,5525.0,5605.0,5725.0,80.0,80.0,120.0,broken_upper,7.0,17.366,17.28,,0.086,,1.0,100.0,,,19.8683,23.4605,2.5023,6.1805,0.086,conservative,
2025-04-02T15:05:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,5642.41,5615.0,2.0,Established a fresh primary butterfly corridor layer.,PRIMARY,5535.0,5615.0,5735.0,80.0,80.0,120.0,broken_upper,7.0,17.366,17.28,0.086,0.086,57.366,1.0,100.0,,,,,,,,,
2025-04-02T15:10:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,5633.26,5625.0,3.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5545.0,5625.0,5745.0,80.0,80.0,120.0,broken_upper,7.0,17.366,17.28,0.086,0.086,57.366,1.0,100.0,,,,,,,,,
2025-04-02T15:15:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5639.65,5620.0,,Corridor drift started.,,,,,,,,,,,,,,,,,19.65,,,,,,,,
2025-04-02T15:30:00+00:00,SPX,ABORTED,DRIFTING,5658.5,5615.0,2.0,Regime turned TREND_UP.,PRIMARY,5535.0,5615.0,5735.0,80.0,80.0,120.0,broken_upper,7.0,17.366,17.28,,0.086,,1.0,100.0,,,19.5963,23.1405,2.2303,5.8605,0.086,conservative,
2025-04-02T15:30:00+00:00,SPX,ABORTED,DRIFTING,5658.5,5625.0,3.0,Regime turned TREND_UP.,SUPPLEMENTAL,5545.0,5625.0,5745.0,80.0,80.0,120.0,broken_upper,7.0,17.366,17.28,,0.086,,1.0,100.0,,,19.9481,23.5544,2.5821,6.2744,0.086,conservative,
2025-04-15T15:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5424.04,5430.0,4.0,Opened the primary butterfly corridor layer.,PRIMARY,5350.0,5430.0,5550.0,80.0,80.0,120.0,broken_upper,7.0,17.366,17.28,0.086,0.086,57.366,1.0,100.0,,,,,,,,,
2025-04-15T15:50:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5426.24,5430.0,4.0,Primary take-profit reached.,PRIMARY,5350.0,5430.0,5550.0,80.0,80.0,120.0,broken_upper,7.0,17.366,17.28,,0.086,,1.0,100.0,,,20.9485,24.7312,3.5825,7.4512,0.086,conservative,0.2063
2025-04-15T15:55:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5427.51,5425.0,5.0,Opened the primary butterfly corridor layer.,PRIMARY,5345.0,5425.0,5545.0,80.0,80.0,120.0,broken_upper,7.0,17.366,17.28,0.086,0.086,57.366,1.0,100.0,,,,,,,,,
